Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,URCALL,RPT1CALL,RPT2CALL,Comment
215,"NM5ML",147.280000,"+",0.600000,"Tone",100,100,023,"NN","FM",2.5,,,"NM5ML","",""
216,"KC0CVU",449.600000,"-",5.000000,"Tone",107.2,107.2,023,"NN","FM",2.5,,,"KC0CVU","",""
217,"KE5CJ",145.150000,"-",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"KE5CJ","",""
218,"KD0LDY",444.100000,"+",5.000000,"Tone",199.5,199.5,023,"NN","FM",2.5,,,"KD0LDY","KD0LDY",""
219,"K9ROD",447.450000,"-",5.000000,"Tone",123,123,023,"NN","FM",2.5,,,"K9ROD","","Privately Owned but open to all amateur radio operators. Western coverage circle not accurate."
220,"KB0TUC",448.150000,"-",5.000000,"Tone",103.5,103.5,023,"NN","FM",2.5,,,"KB0TUC","",""
221,"KB0SRJ",448.450000,"-",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"KB0SRJ","",""
222,"N9GDM",147.075000,"+",0.600000,"Tone",67,67,023,"NN","FM",2.5,,,"N9GDM","","N9GDM  2 METER WIDE AREA"
223,"KC0CVU",449.650000,"-",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"KC0CVU","",""
224,"K5GF",449.950000,"-",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"K5GF","",""
